@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2016/11/25 15:19:43:469',1,83.400002,0.053806,0.128084,0.151706,0.061942,0.084514,0.024147,0.02126,0.033858,0.294922,0.939941,0.089355,0,0,0,0,0,?,?,?,?
2,'2016/11/25 15:19:43:501',1,83.400002,0.052756,0.133333,0.15853,0.050656,0.076903,0.024147,0.021785,0.034383,0.287109,0.934082,0.084473,0,0,0,0,0,?,?,?,?
3,'2016/11/25 15:19:43:536',1,83.400002,0.050919,0.135171,0.147769,0.049344,0.070079,0.025984,0.022572,0.035171,0.290527,0.952637,0.083984,0,0,0,0,0,?,?,?,?
4,'2016/11/25 15:19:43:569',1,83.400002,0.048819,0.132808,0.137533,0.045932,0.065879,0.024147,0.02231,0.034383,0.299805,0.939453,0.093262,0,0,0,0,0,?,?,?,?
5,'2016/11/25 15:19:43:601',1,83.400002,0.051181,0.133333,0.130971,0.04147,0.059843,0.024409,0.02231,0.034908,0.297363,0.955566,0.08252,0,0,0,0,0,?,?,?,?
6,'2016/11/25 15:19:43:635',1,83.400002,0.055381,0.138058,0.132283,0.038058,0.056693,0.022572,0.02126,0.035433,0.293457,0.937012,0.09375,0,0,0,0,0,?,?,?,?
7,'2016/11/25 15:19:43:669',1,83.400002,0.055643,0.137795,0.132283,0.038058,0.05643,0.023097,0.021785,0.037008,0.293457,0.958984,0.089844,0,0,0,0,0,?,?,?,?
8,'2016/11/25 15:19:43:703',1,83.400002,0.055643,0.138845,0.133858,0.038845,0.058005,0.022835,0.022835,0.037008,0.297852,0.954102,0.090332,0,0,0,0,0,?,?,?,?
9,'2016/11/25 15:19:43:736',1,83.36364,0.055118,0.137533,0.134383,0.038058,0.055906,0.022835,0.02336,0.036745,0.294922,0.942871,0.084961,0,0,0,0,0,?,?,?,?
10,'2016/11/25 15:19:43:768',1,83.300003,0.054856,0.145407,0.137795,0.040157,0.053281,0.02231,0.02336,0.036745,0.290527,0.933594,0.085449,0,0,0,0,0,?,?,?,?
11,'2016/11/25 15:19:43:803',1,83.300003,0.057218,0.146194,0.134646,0.04147,0.055906,0.02231,0.023097,0.037533,0.297852,0.956055,0.094238,0,0,0,0,0,?,?,?,?
12,'2016/11/25 15:19:43:836',1,83.300003,0.056168,0.145144,0.134121,0.044882,0.056168,0.023097,0.02336,0.038058,0.288086,0.948242,0.088867,0,0,0,0,0,?,?,?,?
13,'2016/11/25 15:19:43:869',1,83.300003,0.05958,0.145407,0.135171,0.041995,0.056955,0.022835,0.023885,0.038583,0.286133,0.941406,0.092773,0,0,0,0,0,?,?,?,?
14,'2016/11/25 15:19:43:903',1,83.300003,0.060892,0.145407,0.14252,0.044357,0.059055,0.024934,0.024934,0.038583,0.290039,0.942871,0.096191,0,0,0,0,0,?,?,?,?
15,'2016/11/25 15:19:43:937',1,83.300003,0.064042,0.145932,0.147769,0.046719,0.057218,0.024672,0.023885,0.038058,0.294434,0.952148,0.08252,0,0,0,0,0,?,?,?,?
