@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
29,'2016/11/25 15:19:44:402',1,83.199997,0.075853,0.10315,0.135171,0.055643,0.060367,0.027034,0.026509,0.035171,0.301758,0.961914,0.08252,0,0,0,0,0,?,?,?,?
30,'2016/11/25 15:19:44:435',1,83.199997,0.07664,0.096325,0.120472,0.054593,0.06168,0.026247,0.026247,0.034121,0.288086,0.935059,0.089355,0,0,0,0,0,?,?,?,?
31,'2016/11/25 15:19:44:468',1,83.199997,0.07874,0.090551,0.119423,0.052756,0.05748,0.023885,0.025459,0.033858,0.282715,0.943848,0.09082,0,0,0,0,0,?,?,?,?
32,'2016/11/25 15:19:44:502',1,83.199997,0.07874,0.085564,0.108924,0.055643,0.056955,0.02336,0.024934,0.034121,0.287598,0.952148,0.082031,0,0,0,0,0,?,?,?,?
33,'2016/11/25 15:19:44:535',1,83.199997,0.080315,0.085039,0.108399,0.058268,0.059318,0.021785,0.024147,0.032808,0.288574,0.927246,0.084473,0,0,0,0,0,?,?,?,?
34,'2016/11/25 15:19:44:568',1,83.199997,0.084514,0.081102,0.108136,0.058268,0.05958,0.022572,0.024147,0.033596,0.292969,0.950684,0.082031,0,0,0,0,0,?,?,?,?
35,'2016/11/25 15:19:44:602',1,83.199997,0.082677,0.084514,0.106037,0.060105,0.059318,0.024147,0.024409,0.033596,0.289551,0.940918,0.086426,0,0,0,0,0,?,?,?,?
36,'2016/11/25 15:19:44:634',1,83.199997,0.081627,0.080315,0.104199,0.063517,0.06273,0.025459,0.024672,0.033333,0.296875,0.94043,0.081543,0,0,0,0,0,?,?,?,?
37,'2016/11/25 15:19:44:668',1,83.199997,0.081365,0.076378,0.09895,0.063255,0.064567,0.028609,0.027034,0.033333,0.291016,0.955078,0.087402,0,0,0,0,0,?,?,?,?
38,'2016/11/25 15:19:44:702',1,83.199997,0.081627,0.076378,0.099475,0.063255,0.064304,0.029134,0.026509,0.032546,0.289551,0.946289,0.099121,0,0,0,0,0,?,?,?,?
39,'2016/11/25 15:19:44:735',1,83.199997,0.082677,0.07664,0.096325,0.063517,0.064567,0.029396,0.025722,0.032021,0.291504,0.946777,0.093262,0,0,0,0,0,?,?,?,?
40,'2016/11/25 15:19:44:773',1,83.181816,0.083727,0.072441,0.097375,0.063255,0.064567,0.028871,0.025459,0.032546,0.290039,0.94873,0.089355,0,0,0,0,0,?,?,?,?
41,'2016/11/25 15:19:44:802',1,83.099998,0.08294,0.075328,0.094226,0.064567,0.062205,0.027297,0.025459,0.032808,0.299805,0.944824,0.086914,0,0,0,0,0,?,?,?,?
42,'2016/11/25 15:19:44:835',1,83.099998,0.083989,0.07664,0.094488,0.061155,0.059318,0.027034,0.025722,0.032808,0.285645,0.937988,0.090332,0,0,0,0,0,?,?,?,?
43,'2016/11/25 15:19:44:868',1,83.099998,0.078478,0.075066,0.092913,0.062467,0.056693,0.027297,0.025459,0.032546,0.300781,0.949219,0.080078,0,0,0,0,0,?,?,?,?
44,'2016/11/25 15:19:44:902',1,83.099998,0.078215,0.075066,0.084777,0.060105,0.056168,0.025459,0.023622,0.032283,0.286621,0.941406,0.084473,0,0,0,0,0,?,?,?,?
45,'2016/11/25 15:19:44:936',1,83.099998,0.077428,0.067979,0.083202,0.057743,0.058793,0.024672,0.023885,0.033858,0.289551,0.946289,0.088867,0,0,0,0,0,?,?,?,?
46,'2016/11/25 15:19:44:968',1,83.099998,0.085564,0.078215,0.079528,0.059318,0.058268,0.025984,0.024672,0.035958,0.294434,0.941406,0.091309,0,0,0,0,0,?,?,?,?
47,'2016/11/25 15:19:45:002',1,83.099998,0.086877,0.076378,0.079265,0.063517,0.05853,0.026509,0.025197,0.033333,0.296875,0.955078,0.087402,0,0,0,0,0,?,?,?,?
48,'2016/11/25 15:19:45:036',1,83.099998,0.091076,0.075328,0.07979,0.061942,0.057743,0.026509,0.025459,0.035171,0.286133,0.947266,0.080566,0,0,0,0,0,?,?,?,?
49,'2016/11/25 15:19:45:068',1,83.099998,0.095013,0.078478,0.074541,0.06168,0.058793,0.027822,0.025722,0.034646,0.285156,0.939453,0.081055,0,0,0,0,0,?,?,?,?
50,'2016/11/25 15:19:45:103',1,83.099998,0.092913,0.07874,0.074803,0.064042,0.059318,0.027559,0.025459,0.035958,0.292969,0.943848,0.085938,0,0,0,0,0,?,?,?,?
51,'2016/11/25 15:19:45:137',1,83.099998,0.094226,0.075328,0.071391,0.064304,0.059843,0.027822,0.025197,0.035958,0.29834,0.949707,0.08252,0,0,0,0,0,?,?,?,?
52,'2016/11/25 15:19:45:169',1,83.099998,0.093438,0.078478,0.073491,0.064829,0.058793,0.026772,0.024409,0.03622,0.287109,0.941406,0.078613,0,0,0,0,0,?,?,?,?
53,'2016/11/25 15:19:45:205',1,83.099998,0.091863,0.079003,0.07769,0.065617,0.05958,0.027297,0.024934,0.035696,0.287109,0.941406,0.078613,0,0,0,0,0,?,?,?,?
54,'2016/11/25 15:19:45:235',1,83.099998,0.088714,0.07979,0.077165,0.065879,0.062205,0.027822,0.023885,0.03622,0.292969,0.95752,0.083008,0,0,0,0,0,?,?,?,?
55,'2016/11/25 15:19:45:268',1,83.099998,0.091339,0.082415,0.071391,0.066142,0.061155,0.028346,0.025197,0.036745,0.285645,0.949219,0.085449,0,0,0,0,0,?,?,?,?
